Latitude,Longitude,LST_Day,LST_Night,LST_Diff,Emis_31,Emis_32,NDVI,EVI,NDWI,Sun_Angle,Albedo_Diff,View_Angle,Rel_Azimuth,DEM
41.99999999599804,27.00236343793614,311.74,295.38,16.360000000000014,0.984,0.986,0.31970000000000004,0.22740000000000002,0.16124567474048443,33.45,-0.010020016680567179,2.86,150.15,348.0
41.99999999599804,27.013577044014536,312.3,295.3,17.0,0.984,0.988,0.32330000000000003,0.22820000000000001,0.14476693051890943,33.45,-0.014091914933281657,2.88,150.12,298.0
41.99999999599804,27.024790650092932,312.68,295.6,17.079999999999984,0.984,0.986,0.3941,0.2979,0.23310863771751061,36.53,-0.03294490960983004,27.66,-22.09,312.0
41.99999999599804,27.036004256171324,312.62,296.08,16.54000000000002,0.984,0.986,0.3629,0.22740000000000002,0.24793572863200178,30.54,-0.01100882233665712,32.04,151.75,367.0
41.99999999599804,27.04721786224972,311.86,296.08,15.78000000000003,0.984,0.986,0.4203,0.3229,0.2845817828830286,36.51,-0.01560270895749169,27.5,-22.03,381.0
41.99999999599804,27.05843146832811,311.64,295.98,15.659999999999968,0.984,0.986,0.4615,0.35150000000000003,0.32588699080157685,36.51,-0.012711955542602044,27.47,-23.21,432.0
41.99999999599804,27.06964507440651,311.66,296.0,15.660000000000025,0.984,0.988,0.4847,0.36410000000000003,0.2893602916804773,36.5,-0.02213358017975864,27.400000000000002,-22.85,425.0
41.99999999599804,27.0808586804849,311.72,295.98,15.740000000000009,0.984,0.986,0.4423,0.33630000000000004,0.2693246541903987,36.49,-0.012563761433109888,27.29,-21.98,459.0
41.99999999599804,27.092072286563294,311.74,295.90000000000003,15.839999999999975,0.984,0.988,0.5041,0.3783,0.3392887819962206,36.480000000000004,-0.01127277179133751,27.26,-22.42,472.0
41.99999999599804,27.103285892641694,311.76,295.90000000000003,15.859999999999957,0.984,0.986,0.5241,0.38980000000000004,0.3217094017094017,36.480000000000004,-0.02163826472018332,27.19,-23.76,473.0
41.99999999599804,27.11449949872009,311.88,295.8,16.079999999999984,0.984,0.986,0.45640000000000003,0.33540000000000003,0.257306012764528,36.47,-0.023121914912413943,27.14,-23.31,397.0
41.99999999599804,27.125713104798486,311.96,295.38,16.579999999999984,0.984,0.988,0.43770000000000003,0.3236,0.22791784939054935,36.46,-0.010993629664976606,27.03,-22.830000000000002,436.0
41.99999999599804,27.136926710876875,311.74,295.14,16.600000000000023,0.984,0.986,0.4489,0.329,0.2539035980991174,36.46,-0.012773956055957242,27.0,-23.23,495.0
41.99999999599804,27.14814031695527,310.5,294.56,15.939999999999998,0.984,0.986,0.5822,0.4217,0.3719771091009784,36.45,-0.013216905803487777,26.91,-23.69,476.0
41.99999999599804,27.159353923033667,310.2,294.46,15.740000000000009,0.984,0.986,0.642,0.47090000000000004,0.44473783477932854,36.44,-0.011608649409676458,26.86,-23.69,470.0
41.99999999599804,27.17056752911206,309.32,294.38,14.939999999999998,0.984,0.986,0.7466,0.5595,0.5986312399355878,36.43,-0.013437094854552634,26.77,-23.650000000000002,487.0
41.99999999599804,27.181781135190455,306.78000000000003,293.82,12.960000000000036,0.984,0.986,0.6669,0.4968,0.5005692599620494,36.43,-0.01416662551013842,26.73,-23.61,584.0
41.99999999599804,27.192994741268855,306.44,293.78000000000003,12.659999999999968,0.984,0.986,0.6609,0.4894,0.4836738590796256,36.42,-0.010349513529831905,26.63,-23.61,551.0
41.99999999599804,27.204208347347244,305.8,293.8,12.0,0.982,0.986,0.7479,0.5645,0.5901060070671378,36.410000000000004,-0.017941545672270187,26.580000000000002,-23.61,502.0
41.99999999599804,27.215421953425636,304.74,293.88,10.860000000000014,0.982,0.984,0.7523000000000001,0.5671,0.5987558320373251,36.4,-0.012559557902367124,26.490000000000002,-23.62,544.0
41.99999999599804,27.226635559504036,304.76,293.88,10.879999999999995,0.982,0.984,0.7586,0.5629000000000001,0.6099502487562188,36.4,-0.01298130218329005,26.45,-23.53,535.0
41.99999999599804,27.23784916558243,304.56,293.90000000000003,10.659999999999968,0.98,0.984,0.8017000000000001,0.6109,0.6530731707317072,36.39,-0.011606155671845114,26.36,-23.53,543.0
41.99999999599804,27.249062771660824,304.32,293.96,10.360000000000014,0.98,0.984,0.804,0.6111,0.6560157790927021,36.39,-0.010229341103685868,26.310000000000002,-23.54,481.0
41.99999999599804,27.26027637773922,304.26,294.06,10.199999999999989,0.98,0.984,0.8058000000000001,0.6108,0.6649909511361352,36.38,-0.01144006786305779,26.22,-23.5,506.0
41.99999999599804,27.271489983817617,304.16,294.06,10.100000000000023,0.98,0.984,0.7908000000000001,0.5904,0.6643821391484942,36.38,-0.013015959922120235,26.17,-23.46,536.0
41.99999999599804,27.282703589896006,304.24,294.16,10.079999999999984,0.98,0.984,0.7816000000000001,0.5933,0.6276574607589905,36.37,-0.013199332777314304,26.080000000000002,-23.46,484.0
41.99999999599804,27.2939171959744,304.34000000000003,294.54,9.800000000000011,0.982,0.984,0.7666000000000001,0.5821000000000001,0.6106194690265486,36.36,-0.013165323340759982,26.03,-23.46,526.0
41.99999999599804,27.305130802052794,304.44,294.58,9.860000000000014,0.982,0.984,0.8111,0.6312,0.6654957064793131,36.35,-0.011202571506280595,25.94,-23.47,572.0
41.99999999599804,27.316344408131194,304.44,294.14,10.300000000000011,0.98,0.984,0.8124,0.6139,0.6600079904115062,36.35,-0.011615953244328264,25.900000000000002,-23.37,495.0
